stock,adf,hurst,momentum returns,reversion returns
ALV,1,0.4474180213967999,-1.1807035789975338,-6.997935419744193
AM,1,0.46581945880218206,0.431654950697645,2.3504302895125058
AMAT,1,0.5560319882529645,2.321733844455196,9.882707621390892
AMBA,1,0.4043556827977653,13.660748485379598,10.576677842195755
AMC,1,0.4294896334929323,-1.5200529407029766,4.2615610591949125
AMCR,1,0.37084549497852337,1.5520421347242377,-0.8016859996303607
AMD,1,0.4989553689342391,10.92765328119311,9.104606074469595
AME,1,0.6026632751480905,1.2056373260250794,1.2683885125957313
AMED,1,0.5204609149466018,-0.10283107267269767,1.3661158075823288
AMG,1,0.6752047964197183,1.8608129064256473,2.4169147842230583
AMGN,1,0.3333462874246441,-1.3855355615446934,-0.8071359654498212
AMH,1,0.7088099874988799,-0.20478724883360083,0.5827665642177224
